contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,method,n
Low dose - Placebo,2.636099208676069,1.1810887346116672,235,0.30922440818612307,4.962974009166015,2.2319230820051787,0.02656352868577687,Primary ANCOVA (complete cases),239
High dose - Placebo,1.680877277545088,1.1836568235673341,235,-0.6510569408372171,4.012811495927393,1.4200714633479816,0.15691215562435085,Primary ANCOVA (complete cases),239
Low dose - Placebo,2.5651838121717607,1.2088577539763803,236,0.1836532209474111,4.94671440339611,2.1219897905555243,0.03488086635847595,Unadjusted change-score comparison,239
High dose - Placebo,1.3985171455051026,1.2088577539763836,236,-0.9830134457192536,3.780047736729459,1.15689140505147,0.24848638110528484,Unadjusted change-score comparison,239
Low dose - Placebo,3.1568098174952426,0.9552493954229361,232,1.2747373991017792,5.038882235888706,3.3046970064792003,0.0011013738575626744,Exploratory: exclude ALT above pooled 99th percentile,236
High dose - Placebo,2.897673392987034,0.9599158172450769,232,1.0064069946275829,4.788939791346485,3.018674493043828,0.002822481775875414,Exploratory: exclude ALT above pooled 99th percentile,236
